arm,family,color,query,both_swap_targets_correct,both_original_targets_correct
no_edit,J00,red,initial_recipient,0,1
no_edit,J00,red,later_giver,0,0
no_edit,J00,red,later_color,1,1
no_edit,J00,blue,initial_recipient,0,1
no_edit,J00,blue,later_giver,0,0
no_edit,J00,blue,later_color,1,1
no_edit,J01,red,initial_recipient,0,1
no_edit,J01,red,later_giver,0,0
no_edit,J01,red,later_color,1,1
no_edit,J01,blue,initial_recipient,0,1
no_edit,J01,blue,later_giver,0,0
no_edit,J01,blue,later_color,1,1
no_edit,J02,red,initial_recipient,0,1
no_edit,J02,red,later_giver,0,0
no_edit,J02,red,later_color,1,1
no_edit,J02,blue,initial_recipient,0,1
no_edit,J02,blue,later_giver,0,0
no_edit,J02,blue,later_color,0,0
no_edit,J03,red,initial_recipient,0,1
no_edit,J03,red,later_giver,0,0
no_edit,J03,red,later_color,1,1
no_edit,J03,blue,initial_recipient,0,1
no_edit,J03,blue,later_giver,0,0
no_edit,J03,blue,later_color,0,0
no_edit,J04,red,initial_recipient,0,1
no_edit,J04,red,later_giver,0,0
no_edit,J04,red,later_color,1,1
no_edit,J04,blue,initial_recipient,0,1
no_edit,J04,blue,later_giver,0,0
no_edit,J04,blue,later_color,0,0
no_edit,J05,red,initial_recipient,0,1
no_edit,J05,red,later_giver,0,0
no_edit,J05,red,later_color,1,1
no_edit,J05,blue,initial_recipient,0,1
no_edit,J05,blue,later_giver,0,0
no_edit,J05,blue,later_color,0,0
no_edit,J06,red,initial_recipient,0,0
no_edit,J06,red,later_giver,0,0
no_edit,J06,red,later_color,1,1
no_edit,J06,blue,initial_recipient,0,0
no_edit,J06,blue,later_giver,0,0
no_edit,J06,blue,later_color,0,0
no_edit,J07,red,initial_recipient,0,0
no_edit,J07,red,later_giver,0,0
no_edit,J07,red,later_color,1,1
no_edit,J07,blue,initial_recipient,0,0
no_edit,J07,blue,later_giver,0,0
no_edit,J07,blue,later_color,0,0
internal,J00,red,initial_recipient,0,0
internal,J00,red,later_giver,0,0
internal,J00,red,later_color,1,1
internal,J00,blue,initial_recipient,0,0
internal,J00,blue,later_giver,0,0
internal,J00,blue,later_color,1,1
internal,J01,red,initial_recipient,0,0
internal,J01,red,later_giver,0,0
internal,J01,red,later_color,1,1
internal,J01,blue,initial_recipient,0,0
internal,J01,blue,later_giver,0,0
internal,J01,blue,later_color,1,1
internal,J02,red,initial_recipient,0,0
internal,J02,red,later_giver,0,0
internal,J02,red,later_color,1,1
internal,J02,blue,initial_recipient,0,0
internal,J02,blue,later_giver,0,0
internal,J02,blue,later_color,0,0
internal,J03,red,initial_recipient,0,0
internal,J03,red,later_giver,0,0
internal,J03,red,later_color,1,1
