id,date_requested,category,request,status,evidence,notes
1,2026-08-07,physics,Paperboy throw = fixed/rigid trajectory the player times (not auto-aim),DONE,THROW_V fixed speed + 8-sector arm rotation + dotted arc preview,arm auto-rotates toward nearest mailbox on vertical levels
2,2026-08-07,content,Procedurally generate many fun beatable levels,DONE,genMachine(seed) motif/tier arc; bot win rate 94%,
3,2026-08-07,economy,Procedurally generate rewards / skins,DONE,forged skins minted + persisted,
4,2026-08-07,economy,Supabase verifies players posted links on social,DONE,DEPLOYED LIVE: verify-share Edge Function + share_claims table; live tests - unsupported host refused, reachable post without link persisted as rejected 0 credits, browser insert of verified/9999 credits blocked by RLS 42501,
5,2026-08-07,platform,iPhone on-screen controls + Bluetooth Xbox controller,DONE,touchpad + gamepad bindings,
6,2026-08-07,platform,Cloud saves to Supabase,DONE,cloud shelf round-trip verified,
7,2026-08-07,platform,Accounts + share links so others can make/save their own,DONE,machines table + RLS + magic link,
8,2026-08-07,deploy,Front door at play.svgn.io,DONE,Cloudflare Pages + DNS,made public per request
9,2026-08-07,gameplay,Grapple hook: whip grabs peg then loop around it for speed,DONE,stepSwing flywheel; loops counted; release boost,
10,2026-08-07,content,More open loops / launch loops / cannons at all angles,DONE,6 cannons + 9 fractional pipes,
11,2026-08-07,ui,Palette category menus with many pipe variants,DONE,9 category tabs / 83 swatches,
12,2026-08-07,art,Characters must be in 3D,DONE,voxel geometry per character; 9 distinct silhouettes,
13,2026-08-07,art,New character Photon,DONE,PHOTON in CHARS,
14,2026-08-07,art,All characters have lights that illuminate the play space + signal state,DONE,lampNow drives the real 3D point light; pip #ffb02e/300 photon #7df3ff/1008 nyx #b28aff/405; bop gold hit red land green nitro 3.0,beam characters throw light 1.6x further
15,2026-08-07,audio,More songs + mute button,DONE,9 songs + MUTED toggle,
16,2026-08-07,ui,Play next level button,DONE,,
17,2026-08-07,content,Editable/savable default levels (each player own copy),DONE,FORK makes a personal copy; pack level verified unchanged after edits; fork round-trips exactly,
18,2026-08-07,ui,Level folders / playlists,DONE,LIBRARY panel with folders move rename delete + play-all playlist walker,
19,2026-08-07,content,Fix bad level design (buried blocks / springs into ceilings),DONE,48-seed audit: buried blocks 0 springs-into-ceilings 0; levels with no mailbox 24 -> 0 (min 4 per level),genMachine had 3 early returns so the guarantee had to move outside it
20,2026-08-07,perf,Optimize performance regression; NO adaptive quality,DONE,layout thrashing fixed; idle 9.63ms -> 2.76ms,
21,2026-08-07,editor,Illustrator-style smooth bezier curve tool,DONE,pen with anchors+handles; curves stay editable,
22,2026-08-07,editor,Rotate / flip / transform / scale curve assets,DONE,ROT +-15 BIGGER SMALLER FLIP H/V; verified geometrically,
23,2026-08-07,editor,Scroll horizontally/vertically/diagonally in edit mode,DONE,middle-drag space-drag wheel arrows PLUS real scroll bars,
24,2026-08-07,editor,Increase level size / extend a level,DONE,WIDER +20 and TALLER +4; height grows upward,
25,2026-08-07,editor,Curve asset library (save/stamp reusable curves),DONE,SAVE CURVE / STAMP / scale+rotation; normalised anchors,
26,2026-08-07,physics,Curves should accelerate the player,DONE,CURVE_PULL 1.75; speed 1.41 -> 18.02 on a descent,
27,2026-08-07,physics,Snappier physics,DONE,ACCEL 0.92 FRICTION 0.86,
28,2026-08-07,physics,Wheel must stay on correct side of curve through loops,DONE,continuous normal; side flips per lap 2 -> 0,
29,2026-08-07,renderer,Use Three.js as the actual renderer (not a side demo),DONE,index.html is the merged 3D build,
30,2026-08-07,renderer,Real WebGPU (no lazy substitution),DONE,WebGPURenderer + WebGPUBackend confirmed; node materials,
31,2026-08-07,art,Convert every 2D asset to 3D (voxels for ~90%),DONE,74 tile types + entities + chars + tracks + particles,
32,2026-08-07,gameplay,Run button like Super Mario,DONE,Shift / J / on-screen RUN; walk 0.164 run 0.208 tiles-per-frame,
33,2026-08-07,art,Voxel animations (replacing sprite animation),DONE,6 walk frames + air + land per character; 7 geometries in play,
34,2026-08-07,editor,SCROLL BARS in edit mode,DONE,H+V bars with proportional thumbs; thumb 0->629 across level; page-click scrolls; hidden in play,thumb size shows how much of the level is in view
35,2026-08-07,process,Keep a CSV workbook of all feature requests,DONE,this file,
36,2026-08-07,ai,Enemies must not walk off cliffs toward the player,DONE,ledge probe: without it walker reaches x536 and falls; with it turns at x488,committed falls are left alone
37,2026-08-07,art,Assets must be the right scale,DONE,1 voxel = 1 art pixel; entities auto-fit to hitbox,
38,2026-08-07,bug,Edit mode grid missing / cannot place assets,DONE,3D layer was painting over the editor; 2D owns top in edit,
39,2026-08-07,bug,Invisible 360 loop in the scene,DONE,tracks were 2D-only; now extruded rails; 7784 px painted,
40,2026-08-07,bug,Collected vehicle stays in scene (two vehicles),DONE,renderer read edit grid not playGrid,
41,2026-08-07,bug,Player looks too short when riding a vehicle,DONE,composite vehicle+rider poses baked at the 2D offsets; bike 48x43 hover 40x50 euc 30x45 vs 30x29 on foot,wheel no longer double-drawn
42,2026-08-07,gameplay,Shooting packets into mailboxes does not work,DONE,THROW_V 7.5->11.2 + flat arc; 2 deliveries 20 credits via real FIRE key,packet could not physically reach a box at normal range before
43,2026-08-07,economy,Coins/gears should be postage letters and parcels,DONE,3 tiers 1/3/5 credits; 3 distinct voxel shapes; collection paid 1/3/5 in live play,drop rates 58/28/14 percent
44,2026-08-07,build,Bake voxel geometry to a data file and ship that,DONE,voxel-assets.json 660KB (spans not triangles - was 10.36MB); game boots with __bakedAssets true,
45,2026-08-07,art,Graphics look dark vs the original art,DONE,unlit + baked face shading; brightness ratio 0.99 vs art,
46,2026-08-07,bug,2D versions still exist / flash on load,DONE,26 draw functions deleted; 0 remain; palette icons render from voxel spans; source shrank 379600->347484 bytes,
47,2026-08-07,editor,3D grid coordinate system for edit mode in Three.js,DONE,368-tri grid + tile cursor; screen-to-tile round trip error 0,unlocks retiring the 2D world pass
48,2026-08-07,bug,Curves invisible in edit mode but visible on Play,DONE,tracks[] only exists in play; edit now builds rails from customTracks,
49,2026-08-07,editor,Curve segments editable in edit mode with control handles,DONE,anchor + handle gizmos drawn in 3D; handle drag reshapes rail 90->155,
50,2026-08-07,editor,Flip/rotate/rescale/reposition curves after placement,DONE,rot90 307x90->90x307; scale2 307->607; flipV size kept; move verified,
51,2026-08-08,bug,Character invisible in play mode,DONE,occluded by voxel terrain sharing the same z band; actors now use depth-test-off material at renderOrder 5000; verified by playing to MACHINE COMPLETE in 4.3s,submitted 990 tris the whole time - it was drawn then hidden
52,2026-08-08,bug,Frame loop died every session (drawBG is not defined),DONE,3 stale call sites into deleted 2D draw code; uncaught throw inside rAF kills the loop permanently; all retired draw fns now no-op stubs,
53,2026-08-08,bug,Curves invisible when placed in edit mode,DONE,ribbon rails were backfacing under a FrontSide material; railMat is DoubleSide + depth-test off; gold arc renders where placed,same trap the edit grid hit earlier
54,2026-08-08,editor,PICK selection + transform verified by real clicking,DONE,clicked PICK then the curve: selection 0 with cyan anchors and amber handle gizmos; ROT +15 x4 rotated anchors 500/900 -> 600/800 and the arc followed,
55,2026-08-08,process,Verify by playing and filming rather than by reading counters,DONE,switched to Chrome DevTools MCP; every fix in this batch was found by screenshot after an action,counters read green while the screen was black
56,2026-08-08,physics,Levels not traversable - bot completed only 1 of 6 generated levels,DONE,fresh unseen seeds now 8/8 won 0 deaths 33 deliveries avg 14.8s,three root causes: step-up assist + floorless sky levels + rail softlock
57,2026-08-08,process,Zero deliveries measured across a full sweep,DONE,measurement artifact - the bot never pressed the throw key; mechanic itself verified working earlier,bot now presses KeyC near a mailbox
58,2026-08-08,physics,Knee-high ledges stopped a run dead,DONE,step-up assist in moveX; seed 1321185480 went 8 pct -> 96 pct,only on the ground and only when the raised spot is actually free
59,2026-08-08,content,Sky-motif levels generated with NO floor for 135 columns,DONE,ensureGroundFloor post-pass; seeds 55219 and 64538327 fell out of the world and died on a loop - now won in 13.9s and 15.8s,genMachine early-returns so the guarantee lives outside it like ensureMailRoute
60,2026-08-08,content,Catch floor left a cliff where the void met real terrain,DONE,ramped the deck into neighbouring ground heights; worst step in playable span now <=2 tiles,flat slab stalled every sky run at 91 pct
61,2026-08-08,physics,SOFTLOCK - player trapped forever in a track dip,DONE,jump off a rail now sets trackCD 34 so it clears instead of re-railing; seeds 99001 and 7771234 went 26/28 pct -> won,the 12-frame detach cooldown let the player re-rail before leaving the curve
62,2026-08-08,process,Bot measured the game wrong three separate ways,DONE,win oracle was an inline style beating the .show class; forward probe keyed off vx which a wall zeroes; jump held too long,never trust the instrument before the subject
63,2026-08-08,bug,CHARACTER INVISIBLE - reported by Micah after the level fixes shipped,DONE,two separate root causes found by hiding the whole scene and tinting the actor magenta; character now renders on the EUC and tracks the player,neither was a game-logic bug - both were GPU-side
64,2026-08-08,bug,WebGPU rejected EVERY frame (uniform buffer overflow),DONE,legacy MAXTILES=20000 quad batch asked for 1280000 bytes vs the 65536 limit; invalid bindGroup_object -> invalid CommandBuffer -> canvas froze on the last good image; 505 console errors -> 4,count=0 and visible=false do NOT protect you - the buffer is sized from CAPACITY
65,2026-08-08,bug,Capacity-1 InstancedMesh ignored its per-instance matrix,DONE,character drew at world 0,0 (top-left corner) while getMatrixAt reported the right spot; setSingle now drives the OBJECT transform and leaves instance 0 at identity,proved by hiding all 29 other meshes and tinting the actor
