id,case,family,color,giver,arm,query,top_id,top_text,swap_target,original_target,swap_correct,original_correct,invalid,swap_probability,original_probability,word_logits,word_probabilities,selected_cache,input_cache_sha256,authority_revision,suffix_ids,requested_target,requested_correct,max_logit_difference_from_same_state_control
J00_g0_c0_recipient/stop_future_edits/later_giver,J00_g0_c0_recipient,J00,red,William,stop_future_edits,later_giver,257, a,Elizabeth,William,0,0,1,0.012975718682562247,0.027586368634647033,"{""William"": -104.65464782714844, ""Elizabeth"": -105.40888977050781, ""red"": -110.68805694580078, ""blue"": -111.58671569824219}","{""William"": 0.027586368634647033, ""Elizabeth"": 0.012975718682562247, ""red"": 6.613300364740928e-05, ""blue"": 2.692376001157622e-05}",edited_no_new_patch,5d5451e3e027b99be59c82026511ad0ae8ddeb430080bd33c759d492c14ab7f8,2,"[2130, 13, 383, 308, 1428, 373]",Elizabeth,0,0.0
J00_g0_c0_recipient/stop_future_edits/later_color,J00_g0_c0_recipient,J00,red,William,stop_future_edits,later_color,2266, red,red,red,1,1,0,0.07838932499500036,0.07838932499500036,"{""William"": -119.81761169433594, ""Elizabeth"": -121.54035186767578, ""red"": -115.30084991455078, ""blue"": -116.43810272216797}","{""William"": 0.0008563517858565785, ""Elizabeth"": 0.00015292400263192203, ""red"": 0.07838932499500036, ""blue"": 0.02513936513573767}",edited_no_new_patch,5d5451e3e027b99be59c82026511ad0ae8ddeb430080bd33c759d492c14ab7f8,2,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",red,1,0.0
J00_g0_c0_recipient/restore_original/later_giver,J00_g0_c0_recipient,J00,red,William,restore_original,later_giver,257, a,Elizabeth,William,0,0,1,0.013417121508145873,0.026208591579993223,"{""William"": -104.35484313964844, ""Elizabeth"": -105.02439880371094, ""red"": -110.28285217285156, ""blue"": -111.15274810791016}","{""William"": 0.026208591579993223, ""Elizabeth"": 0.013417121508145873, ""red"": 6.981392760078769e-05, ""blue"": 2.925169704516623e-05}",original,682fade2b616214a004159428f03ea6e9c5acfde1d640cf92faca7c1d147e0cc,3,"[2130, 13, 383, 308, 1428, 373]",William,0,0.0
J00_g0_c0_recipient/restore_original/later_color,J00_g0_c0_recipient,J00,red,William,restore_original,later_color,2266, red,red,red,1,1,0,0.07955943778132836,0.07955943778132836,"{""William"": -120.22712707519531, ""Elizabeth"": -121.9029769897461, ""red"": -115.6394271850586, ""blue"": -116.78658294677734}","{""William"": 0.0008096157692778988, ""Elizabeth"": 0.00015151882303023927, ""red"": 0.07955943778132836, ""blue"": 0.02526319581241236}",original,682fade2b616214a004159428f03ea6e9c5acfde1d640cf92faca7c1d147e0cc,3,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",red,1,0.0
J00_g0_c1_recipient/stop_future_edits/later_giver,J00_g0_c1_recipient,J00,blue,William,stop_future_edits,later_giver,257, a,Elizabeth,William,0,0,1,0.014197536648678245,0.027815035334314057,"{""William"": -105.75741577148438, ""Elizabeth"": -106.42992401123047, ""red"": -111.72129821777344, ""blue"": -112.07989501953125}","{""William"": 0.027815035334314057, ""Elizabeth"": 0.014197536648678245, ""red"": 7.148227712183187e-05, ""blue"": 4.994152119272823e-05}",edited_no_new_patch,37de6bebb88035e907570e874c7405f3f6655e0b4a85a03b7045c1bb5b4819af,2,"[2130, 13, 383, 308, 1428, 373]",Elizabeth,0,0.0
J00_g0_c1_recipient/stop_future_edits/later_color,J00_g0_c1_recipient,J00,blue,William,stop_future_edits,later_color,4171, blue,blue,blue,1,1,0,0.06921662147394834,0.06921662147394834,"{""William"": -119.94022369384766, ""Elizabeth"": -121.78832244873047, ""red"": -115.98833465576172, ""blue"": -115.74376678466797}","{""William"": 0.0010416272140719197, ""Elizabeth"": 0.00016409419839880166, ""red"": 0.054199579894847034, ""blue"": 0.06921662147394834}",edited_no_new_patch,37de6bebb88035e907570e874c7405f3f6655e0b4a85a03b7045c1bb5b4819af,2,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",blue,1,0.0
J00_g0_c1_recipient/restore_original/later_giver,J00_g0_c1_recipient,J00,blue,William,restore_original,later_giver,257, a,Elizabeth,William,0,0,1,0.014708127455168026,0.026943218957127906,"{""William"": -105.61308288574219, ""Elizabeth"": -106.21841430664062, ""red"": -111.51933288574219, ""blue"": -111.87876892089844}","{""William"": 0.026943218957127906, ""Elizabeth"": 0.014708127455168026, ""red"": 7.334959103063271e-05, ""blue"": 5.12031418197288e-05}",original,bacaf219be606cb1b09504b44d8070c1d2dc9584e9a16f7075ef8ae97461d341,3,"[2130, 13, 383, 308, 1428, 373]",William,0,0.0
J00_g0_c1_recipient/restore_original/later_color,J00_g0_c1_recipient,J00,blue,William,restore_original,later_color,4171, blue,blue,blue,1,1,0,0.06888475090975034,0.06888475090975034,"{""William"": -120.20545196533203, ""Elizabeth"": -122.02925872802734, ""red"": -116.26317596435547, ""blue"": -116.0398178100586}","{""William"": 0.0010690823633620005, ""Elizabeth"": 0.00017256072309558876, ""red"": 0.055095975698284644, ""blue"": 0.06888475090975034}",original,bacaf219be606cb1b09504b44d8070c1d2dc9584e9a16f7075ef8ae97461d341,3,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",blue,1,0.0
J00_g1_c0_recipient/stop_future_edits/later_giver,J00_g1_c0_recipient,J00,red,Elizabeth,stop_future_edits,later_giver,257, a,William,Elizabeth,0,0,1,0.03527302754011529,0.023977709357683362,"{""William"": -105.20337677001953, ""Elizabeth"": -105.58937072753906, ""red"": -111.46389770507812, ""blue"": -112.4522705078125}","{""William"": 0.03527302754011529, ""Elizabeth"": 0.023977709357683362, ""red"": 6.73803157076431e-05, ""blue"": 2.5077727979022987e-05}",edited_no_new_patch,44d2cda0e99e4477d025ba094ae764c3bd2e7cb10c2059f818d64fa1068a15f7,2,"[2130, 13, 383, 308, 1428, 373]",William,0,0.0
J00_g1_c0_recipient/stop_future_edits/later_color,J00_g1_c0_recipient,J00,red,Elizabeth,stop_future_edits,later_color,2266, red,red,red,1,1,0,0.08231006600802124,0.08231006600802124,"{""William"": -119.23129272460938, ""Elizabeth"": -119.2814712524414, ""red"": -114.2568359375, ""blue"": -115.46355438232422}","{""William"": 0.0005689496267678438, ""Elizabeth"": 0.0005411050151114098, ""red"": 0.08231006600802124, ""blue"": 0.024625314636767526}",edited_no_new_patch,44d2cda0e99e4477d025ba094ae764c3bd2e7cb10c2059f818d64fa1068a15f7,2,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",red,1,0.0
J00_g1_c0_recipient/restore_original/later_giver,J00_g1_c0_recipient,J00,red,Elizabeth,restore_original,later_giver,257, a,William,Elizabeth,0,0,1,0.03482718362880721,0.023773824661080366,"{""William"": -104.93759155273438, ""Elizabeth"": -105.31940460205078, ""red"": -111.188720703125, ""blue"": -112.18364715576172}","{""William"": 0.03482718362880721, ""Elizabeth"": 0.023773824661080366, ""red"": 6.715640817718954e-05, ""blue"": 2.483112475107328e-05}",original,aa5b102a682ee36676a10bd25a623e8145132e3c0c56197cf7b28c5ef574792d,3,"[2130, 13, 383, 308, 1428, 373]",Elizabeth,0,0.0
J00_g1_c0_recipient/restore_original/later_color,J00_g1_c0_recipient,J00,red,Elizabeth,restore_original,later_color,2266, red,red,red,1,1,0,0.08091674316207531,0.08091674316207531,"{""William"": -119.93115997314453, ""Elizabeth"": -119.95491790771484, ""red"": -114.94994354248047, ""blue"": -116.1365737915039}","{""William"": 0.0005555505545232251, ""Elizabeth"": 0.0005425073738166489, ""red"": 0.08091674316207531, ""blue"": 0.024699685600785778}",original,aa5b102a682ee36676a10bd25a623e8145132e3c0c56197cf7b28c5ef574792d,3,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",red,1,0.0
J00_g1_c1_recipient/stop_future_edits/later_giver,J00_g1_c1_recipient,J00,blue,Elizabeth,stop_future_edits,later_giver,257, a,William,Elizabeth,0,0,1,0.03281237398409976,0.02349364060854229,"{""William"": -107.01483154296875, ""Elizabeth"": -107.34890747070312, ""red"": -113.16859436035156, ""blue"": -113.71268463134766}","{""William"": 0.03281237398409976, ""Elizabeth"": 0.02349364060854229, ""red"": 6.974168216385155e-05, ""blue"": 4.047594675772678e-05}",edited_no_new_patch,d99d426daa75a8b959c17f961012a0bf21b1ff2b9b4c43b8a7da693417e3d273,2,"[2130, 13, 383, 308, 1428, 373]",William,0,0.0
J00_g1_c1_recipient/stop_future_edits/later_color,J00_g1_c1_recipient,J00,blue,Elizabeth,stop_future_edits,later_color,4171, blue,blue,blue,1,1,0,0.08198583009529446,0.08198583009529446,"{""William"": -118.70672607421875, ""Elizabeth"": -118.77839660644531, ""red"": -114.33792114257812, ""blue"": -114.03260040283203}","{""William"": 0.0007652296892993858, ""Elizabeth"": 0.0007123045110106096, ""red"": 0.06041429135980923, ""blue"": 0.08198583009529446}",edited_no_new_patch,d99d426daa75a8b959c17f961012a0bf21b1ff2b9b4c43b8a7da693417e3d273,2,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",blue,1,0.0
J00_g1_c1_recipient/restore_original/later_giver,J00_g1_c1_recipient,J00,blue,Elizabeth,restore_original,later_giver,257, a,William,Elizabeth,0,0,1,0.03220990217813259,0.023225247232684324,"{""William"": -107.09735870361328, ""Elizabeth"": -107.42439270019531, ""red"": -113.22383880615234, ""blue"": -113.76895904541016}","{""William"": 0.03220990217813259, ""Elizabeth"": 0.023225247232684324, ""red"": 7.035466571170818e-05, ""blue"": 4.0789670018036514e-05}",original,0bbbcf2f5a8bfd2b4ea83d4c8b235f2016770d46d35b247bb2b66ff98a27f932,3,"[2130, 13, 383, 308, 1428, 373]",Elizabeth,0,0.0
J00_g1_c1_recipient/restore_original/later_color,J00_g1_c1_recipient,J00,blue,Elizabeth,restore_original,later_color,4171, blue,blue,blue,1,1,0,0.08105376066324016,0.08105376066324016,"{""William"": -118.3025894165039, ""Elizabeth"": -118.35015106201172, ""red"": -113.96141052246094, ""blue"": -113.66459655761719}","{""William"": 0.0007843654653368219, ""Elizabeth"": 0.0007479330143770934, ""red"": 0.0602377168309798, ""blue"": 0.08105376066324016}",original,0bbbcf2f5a8bfd2b4ea83d4c8b235f2016770d46d35b247bb2b66ff98a27f932,3,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",blue,1,0.0
