family,color,arm,both_intents_both_roles,color_contract,full_contract,eight_outcomes_correct
J00,red,no_edit,0,1,0,6
J00,blue,no_edit,0,1,0,6
J01,red,no_edit,0,1,0,6
J01,blue,no_edit,0,1,0,6
J02,red,no_edit,0,1,0,6
J02,blue,no_edit,0,0,0,2
J03,red,no_edit,0,1,0,6
J03,blue,no_edit,0,0,0,2
J04,red,no_edit,0,1,0,6
J04,blue,no_edit,0,0,0,4
J05,red,no_edit,0,1,0,6
J05,blue,no_edit,0,0,0,2
J06,red,no_edit,0,1,0,4
J06,blue,no_edit,0,1,0,4
J07,red,no_edit,0,1,0,4
J07,blue,no_edit,0,0,0,2
J00,red,d6_internal,0,1,0,6
J00,blue,d6_internal,0,0,0,5
J01,red,d6_internal,0,0,0,5
J01,blue,d6_internal,0,0,0,4
J02,red,d6_internal,0,1,0,7
J02,blue,d6_internal,0,0,0,3
J03,red,d6_internal,0,0,0,5
J03,blue,d6_internal,0,0,0,3
J04,red,d6_internal,0,1,0,6
J04,blue,d6_internal,0,0,0,3
J05,red,d6_internal,0,0,0,5
J05,blue,d6_internal,0,0,0,3
J06,red,d6_internal,0,1,0,4
J06,blue,d6_internal,0,0,0,2
J07,red,d6_internal,0,0,0,2
J07,blue,d6_internal,0,0,0,1
J00,red,d6_task,0,1,0,7
J00,blue,d6_task,0,1,0,7
J01,red,d6_task,0,1,0,7
J01,blue,d6_task,0,1,0,7
J02,red,d6_task,0,1,0,7
J02,blue,d6_task,0,0,0,5
J03,red,d6_task,0,1,0,7
J03,blue,d6_task,0,0,0,5
J04,red,d6_task,0,1,0,6
J04,blue,d6_task,0,0,0,5
J05,red,d6_task,0,1,0,6
J05,blue,d6_task,0,0,0,4
J06,red,d6_task,0,1,0,4
J06,blue,d6_task,0,1,0,4
J07,red,d6_task,0,1,0,4
J07,blue,d6_task,0,0,0,3
J00,red,d6_yoked,0,1,0,6
J00,blue,d6_yoked,0,1,0,6
J01,red,d6_yoked,0,1,0,6
J01,blue,d6_yoked,0,0,0,5
J02,red,d6_yoked,0,1,0,7
J02,blue,d6_yoked,0,0,0,3
J03,red,d6_yoked,0,1,0,7
J03,blue,d6_yoked,0,0,0,3
J04,red,d6_yoked,0,1,0,6
J04,blue,d6_yoked,0,0,0,4
J05,red,d6_yoked,0,1,0,6
J05,blue,d6_yoked,0,0,0,2
J06,red,d6_yoked,0,1,0,4
J06,blue,d6_yoked,0,1,0,4
