case,family,giver,color,query,intent,arm,measurement_id,expected,top_id,top_text,correct,invalid,target_probability,contrast,edit_norm,capped,prohibited_proposal,useful_execution,unauthorized_execution
J04_g0_c0_recipient,J04,William,red,recipient,keep,no_edit,J04_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.2506584754260293,2.9193267822265625,0.0,0,0,1,0
J04_g0_c0_recipient,J04,William,red,recipient,keep,d6_internal,J04_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.2506584754260293,2.9193267822265625,0.0,0,0,1,0
J04_g0_c0_recipient,J04,William,red,recipient,keep,d6_task,J04_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.2506584754260293,2.9193267822265625,0.0,0,0,1,0
J04_g0_c0_recipient,J04,William,red,recipient,keep,d6_yoked,J04_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.2506584754260293,2.9193267822265625,0.0,0,0,1,0
J04_g0_c0_recipient,J04,William,red,recipient,keep,d6_ridge,J04_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.2506584754260293,2.9193267822265625,0.0,0,0,1,0
J04_g0_c0_recipient,J04,William,red,recipient,keep,reflection,J04_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.2506584754260293,2.9193267822265625,0.0,0,0,1,0
J04_g0_c0_recipient,J04,William,red,recipient,keep,reflection_capped,J04_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.2506584754260293,2.9193267822265625,0.0,0,0,1,0
J04_g0_c0_recipient,J04,William,red,recipient,keep,intent_blind_reflection,J04_g0_c0_recipient/reflection,Elizabeth,465, his,0,1,0.09796146505491914,0.23871612548828125,17.46763801574707,0,0,0,0
J04_g0_c0_recipient,J04,William,red,recipient,keep,wrong_intent_reflection,J04_g0_c0_recipient/reflection,Elizabeth,465, his,0,1,0.09796146505491914,0.23871612548828125,17.46763801574707,0,0,0,0
J04_g0_c0_recipient,J04,William,red,recipient,keep,current_donor_oracle,J04_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.2506584754260293,2.9193267822265625,0.0,0,0,1,0
J04_g0_c0_recipient,J04,William,red,recipient,keep,textual_update,J04_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.2506584754260293,2.9193267822265625,0.0,0,0,1,0
J04_g0_c0_recipient,J04,William,red,recipient,keep,revoked_reflection,J04_g0_c0_recipient/none,Elizabeth,10674, Elizabeth,1,0,0.2506584754260293,2.9193267822265625,0.0,0,0,1,0
J04_g0_c0_recipient,J04,William,red,recipient,swap,no_edit,J04_g0_c0_recipient/none,William,10674, Elizabeth,0,0,0.01352804008492036,-2.9193267822265625,0.0,0,1,0,0
J04_g0_c0_recipient,J04,William,red,recipient,swap,d6_internal,J04_g0_c0_recipient/d6_internal,William,465, his,0,1,0.11808119733252047,1.9673843383789062,32.828636169433594,0,0,0,0
J04_g0_c0_recipient,J04,William,red,recipient,swap,d6_task,J04_g0_c0_recipient/d6_task,William,10674, Elizabeth,0,0,0.009643881641536064,-3.1821060180664062,11.946939468383789,0,1,0,0
J04_g0_c0_recipient,J04,William,red,recipient,swap,d6_yoked,J04_g0_c0_recipient/d6_yoked,William,10674, Elizabeth,0,0,0.0025868034426589828,-4.740348815917969,28.17900848388672,0,1,0,0
J04_g0_c0_recipient,J04,William,red,recipient,swap,d6_ridge,J04_g0_c0_recipient/d6_ridge,William,465, his,0,1,0.0692174459197342,-0.2685089111328125,16.542814254760742,0,0,0,0
J04_g0_c0_recipient,J04,William,red,recipient,swap,reflection,J04_g0_c0_recipient/reflection,William,465, his,0,1,0.07715821562546794,-0.23871612548828125,17.46763801574707,0,0,0,0
J04_g0_c0_recipient,J04,William,red,recipient,swap,reflection_capped,J04_g0_c0_recipient/reflection_capped,William,465, his,0,1,0.07715821562546794,-0.23871612548828125,17.46763801574707,0,0,0,0
J04_g0_c0_recipient,J04,William,red,recipient,swap,intent_blind_reflection,J04_g0_c0_recipient/reflection,William,465, his,0,1,0.07715821562546794,-0.23871612548828125,17.46763801574707,0,0,0,0
J04_g0_c0_recipient,J04,William,red,recipient,swap,wrong_intent_reflection,J04_g0_c0_recipient/none,William,10674, Elizabeth,0,0,0.01352804008492036,-2.9193267822265625,0.0,0,1,0,0
J04_g0_c0_recipient,J04,William,red,recipient,swap,current_donor_oracle,J04_g0_c0_recipient/donor,William,465, his,0,1,0.08577958009619673,1.1971969604492188,25.15492820739746,0,0,0,0
J04_g0_c0_recipient,J04,William,red,recipient,swap,textual_update,J04_g1_c0_recipient/none,William,3977, William,1,0,0.19318318206130858,2.3271331787109375,0.0,0,0,1,0
J04_g0_c0_recipient,J04,William,red,recipient,swap,revoked_reflection,J04_g0_c0_recipient/none,William,10674, Elizabeth,0,0,0.01352804008492036,-2.9193267822265625,0.0,0,1,0,0
J04_g0_c0_color,J04,William,red,color,keep,no_edit,J04_g0_c0_color/none,red,2266, red,1,0,0.07913556386827697,1.0806427001953125,0.0,0,0,0,0
J04_g0_c0_color,J04,William,red,color,keep,d6_internal,J04_g0_c0_color/none,red,2266, red,1,0,0.07913556386827697,1.0806427001953125,0.0,0,0,0,0
J04_g0_c0_color,J04,William,red,color,keep,d6_task,J04_g0_c0_color/none,red,2266, red,1,0,0.07913556386827697,1.0806427001953125,0.0,0,0,0,0
J04_g0_c0_color,J04,William,red,color,keep,d6_yoked,J04_g0_c0_color/none,red,2266, red,1,0,0.07913556386827697,1.0806427001953125,0.0,0,0,0,0
J04_g0_c0_color,J04,William,red,color,keep,d6_ridge,J04_g0_c0_color/none,red,2266, red,1,0,0.07913556386827697,1.0806427001953125,0.0,0,0,0,0
