arm,family,correct,both_roles_correct,same_named_output,correct_in_collapsed_pair,expected_1,output_1,expected_2,output_2
clean_text,H00,0,0,0,0,James,INVALID,Patricia,INVALID
clean_text,H01,2,1,0,0,Michael,Michael,Jennifer,Jennifer
clean_text,H02,2,1,0,0,James,James,Patricia,Patricia
clean_text,H03,2,1,0,0,Michael,Michael,Jennifer,Jennifer
clean_text,H04,2,1,0,0,James,James,Patricia,Patricia
clean_text,H05,2,1,0,0,Michael,Michael,Jennifer,Jennifer
clean_text,H06,2,1,0,0,James,James,Patricia,Patricia
clean_text,H07,2,1,0,0,Michael,Michael,Jennifer,Jennifer
constant,H00,0,0,0,0,James,INVALID,Patricia,INVALID
constant,H01,0,0,0,0,Michael,Jennifer,Jennifer,Michael
constant,H02,0,0,0,0,James,Patricia,Patricia,James
constant,H03,0,0,0,0,Michael,Jennifer,Jennifer,Michael
constant,H04,0,0,0,0,James,Patricia,Patricia,James
constant,H05,0,0,0,0,Michael,Jennifer,Jennifer,Michael
constant,H06,0,0,0,0,James,Patricia,Patricia,James
constant,H07,0,0,0,0,Michael,Jennifer,Jennifer,Michael
corrupted_no_edit,H00,0,0,0,0,James,INVALID,Patricia,INVALID
corrupted_no_edit,H01,0,0,0,0,Michael,Jennifer,Jennifer,Michael
corrupted_no_edit,H02,0,0,0,0,James,Patricia,Patricia,James
corrupted_no_edit,H03,0,0,0,0,Michael,Jennifer,Jennifer,Michael
corrupted_no_edit,H04,0,0,0,0,James,Patricia,Patricia,James
corrupted_no_edit,H05,0,0,0,0,Michael,Jennifer,Jennifer,Michael
corrupted_no_edit,H06,0,0,0,0,James,Patricia,Patricia,James
corrupted_no_edit,H07,0,0,0,0,Michael,Jennifer,Jennifer,Michael
external_matched,H00,0,0,0,0,James,INVALID,Patricia,INVALID
external_matched,H01,0,0,0,0,Michael,INVALID,Jennifer,Michael
external_matched,H02,0,0,0,0,James,Patricia,Patricia,INVALID
external_matched,H03,0,0,0,0,Michael,Jennifer,Jennifer,Michael
external_matched,H04,1,0,1,1,James,James,Patricia,James
external_matched,H05,1,0,1,1,Michael,Michael,Jennifer,Michael
external_matched,H06,1,0,1,1,James,Patricia,Patricia,Patricia
external_matched,H07,1,0,1,1,Michael,Jennifer,Jennifer,Jennifer
