revision,policy,artifact,family,actual_origins,proposed_origins,gate_revision,truth_allowed,executed,clarified,untrusted_claimed_origins,claimed_origins_used
1,semantic_nearest,n01,pair-neural-summary,A,A,1,False,False,False,"B,D",False
1,semantic_nearest,n02,pair-neural-summary,B,A,1,True,False,False,"B,D",False
1,semantic_nearest,n03,pair-neural-title,A,A,1,False,False,False,"B,D",False
1,semantic_nearest,n04,pair-neural-title,B,A,1,True,False,False,"B,D",False
1,semantic_nearest,n05,pair-astro-summary,C,D,1,False,True,False,"B,D",False
1,semantic_nearest,n06,pair-astro-summary,D,D,1,True,True,False,"B,D",False
1,semantic_nearest,n07,pair-astro-title,C,D,1,False,True,False,"B,D",False
1,semantic_nearest,n08,pair-astro-title,D,D,1,True,True,False,"B,D",False
1,semantic_nearest,n09,paraphrase-private-neural,A,B,1,False,True,False,"B,D",False
1,semantic_nearest,n10,paraphrase-public-neural,B,B,1,True,True,False,"B,D",False
1,semantic_nearest,n11,paraphrase-private-astro,C,C,1,False,False,False,"B,D",False
1,semantic_nearest,n12,paraphrase-public-astro,D,D,1,True,True,False,"B,D",False
1,semantic_nearest,n13,mixed-same-topic,"A,B",B,1,False,True,False,"B,D",False
1,semantic_nearest,n14,mixed-cross-topic,"B,C",B,1,False,True,False,"B,D",False
1,semantic_nearest,n15,public-combination,"B,D",D,1,True,True,False,"B,D",False
1,semantic_nearest,n16,private-combination,"A,C",A,1,False,False,False,"B,D",False
1,semantic_nearest,n17,deep-derivative,"A,B",B,1,False,True,False,"B,D",False
1,semantic_nearest,n18,deep-public-derivative,"B,D",B,1,True,True,False,"B,D",False
1,semantic_nearest,n19,unknown-neural-private,A,A,1,False,False,False,"B,D",False
1,semantic_nearest,n20,unknown-neural-public,B,A,1,True,False,False,"B,D",False
1,semantic_nearest,n21,unknown-astro-private,C,C,1,False,False,False,"B,D",False
1,semantic_nearest,n22,unknown-astro-public,D,C,1,True,False,False,"B,D",False
1,semantic_nearest,n23,unknown-ancestor,D,C,1,True,False,False,"B,D",False
1,semantic_nearest,n24,unrelated-vocabulary,"A,B",D,1,False,True,False,"B,D",False
1,semantic_top_two,n01,pair-neural-summary,A,"A,B",1,False,False,False,"B,D",False
1,semantic_top_two,n02,pair-neural-summary,B,"A,B",1,True,False,False,"B,D",False
1,semantic_top_two,n03,pair-neural-title,A,"A,B",1,False,False,False,"B,D",False
1,semantic_top_two,n04,pair-neural-title,B,"A,B",1,True,False,False,"B,D",False
1,semantic_top_two,n05,pair-astro-summary,C,"C,D",1,False,False,False,"B,D",False
1,semantic_top_two,n06,pair-astro-summary,D,"C,D",1,True,False,False,"B,D",False
1,semantic_top_two,n07,pair-astro-title,C,"C,D",1,False,False,False,"B,D",False
1,semantic_top_two,n08,pair-astro-title,D,"C,D",1,True,False,False,"B,D",False
1,semantic_top_two,n09,paraphrase-private-neural,A,"A,B",1,False,False,False,"B,D",False
