id,case,family,query,candidate,top_id,top_text,word_a,word_b,word_a_id,word_b_id,word_a_logit,word_b_logit,word_a_probability,word_b_probability,edit_norm,capped
J00_g0_c0_recipient/none,J00_g0_c0_recipient,J00,recipient,none,10674, Elizabeth,William,Elizabeth,3977,10674,-78.29658508300781,-74.83108520507812,0.006678213908653941,0.21365241184267275,0.0,0
J00_g0_c0_color/none,J00_g0_c0_color,J00,color,none,2266, red,red,blue,2266,4171,-112.58766174316406,-113.60127258300781,0.09341023688275979,0.03389915548008693,0.0,0
J00_g0_c1_recipient/none,J00_g0_c1_recipient,J00,recipient,none,10674, Elizabeth,William,Elizabeth,3977,10674,-79.74859619140625,-76.46112823486328,0.007945970594270189,0.21275322228890997,0.0,0
J00_g0_c1_color/none,J00_g0_c1_color,J00,color,none,4171, blue,red,blue,2266,4171,-113.11474609375,-112.7090835571289,0.06574019589590399,0.09862976424947248,0.0,0
J00_g1_c0_recipient/none,J00_g1_c0_recipient,J00,recipient,none,3977, William,William,Elizabeth,3977,10674,-80.42301177978516,-82.31065368652344,0.1381028580234292,0.02091270457686215,0.0,0
J00_g1_c0_color/none,J00_g1_c0_color,J00,color,none,2266, red,red,blue,2266,4171,-113.2849349975586,-114.31022644042969,0.09358901305472868,0.03356962203201888,0.0,0
J00_g1_c1_recipient/none,J00_g1_c1_recipient,J00,recipient,none,3977, William,William,Elizabeth,3977,10674,-82.43362426757812,-84.48175811767578,0.16065042897372567,0.02071994795779277,0.0,0
J00_g1_c1_color/none,J00_g1_c1_color,J00,color,none,4171, blue,red,blue,2266,4171,-110.89237976074219,-110.29442596435547,0.06546413780029496,0.11903960758564794,0.0,0
J00_g0_c0_recipient/d6_internal,J00_g0_c0_recipient,J00,recipient,d6_internal,262, the,William,Elizabeth,3977,10674,-78.92990112304688,-79.95124053955078,0.06620394976581517,0.023840855075036606,25.744911193847656,0
J00_g0_c0_recipient/d6_task,J00_g0_c0_recipient,J00,recipient,d6_task,3977, William,William,Elizabeth,3977,10674,-79.1767349243164,-81.6738052368164,0.13322066493231702,0.010967502430938665,37.265846252441406,0
J00_g0_c0_recipient/d6_yoked,J00_g0_c0_recipient,J00,recipient,d6_yoked,262, the,William,Elizabeth,3977,10674,-80.24852752685547,-80.25131225585938,0.04318987890114888,0.04306977409997419,19.539236068725586,0
J00_g0_c0_recipient/d6_ridge,J00_g0_c0_recipient,J00,recipient,d6_ridge,262, the,William,Elizabeth,3977,10674,-80.17389678955078,-80.14450073242188,0.045597575595593715,0.04695786007933765,19.700801849365234,0
J00_g0_c0_recipient/reflection,J00_g0_c0_recipient,J00,recipient,reflection,262, the,William,Elizabeth,3977,10674,-80.07601165771484,-80.08573913574219,0.0458789691832043,0.045434846119276937,19.76215934753418,0
J00_g0_c0_recipient/reflection_capped,J00_g0_c0_recipient,J00,recipient,reflection_capped,262, the,William,Elizabeth,3977,10674,-80.07601165771484,-80.08573913574219,0.0458789691832043,0.045434846119276937,19.76215934753418,0
J00_g0_c0_recipient/donor,J00_g0_c0_recipient,J00,recipient,donor,262, the,William,Elizabeth,3977,10674,-81.97509765625,-83.35298919677734,0.07658555235909531,0.01930794958941697,29.50972557067871,0
J00_g0_c0_color/d6_internal,J00_g0_c0_color,J00,color,d6_internal,2266, red,red,blue,2266,4171,-103.53407287597656,-104.31024932861328,0.052869073314117665,0.02432834398698055,62.95668029785156,0
J00_g0_c0_color/d6_task,J00_g0_c0_color,J00,color,d6_task,2266, red,red,blue,2266,4171,-114.5695571899414,-115.32731628417969,0.09369439491935037,0.04391602439155615,25.890169143676758,0
J00_g0_c0_color/d6_yoked,J00_g0_c0_color,J00,color,d6_yoked,2266, red,red,blue,2266,4171,-104.90078735351562,-106.09721374511719,0.09113418443967337,0.0275473566357448,69.50833892822266,1
J00_g0_c0_color/d6_ridge,J00_g0_c0_color,J00,color,d6_ridge,2266, red,red,blue,2266,4171,-110.40678405761719,-111.59724426269531,0.1010272331587756,0.03072049159686318,33.08143997192383,0
J00_g0_c0_color/reflection,J00_g0_c0_color,J00,color,reflection,2266, red,red,blue,2266,4171,-111.0225830078125,-112.23462677001953,0.08922138297991856,0.026551253733043845,35.319522857666016,0
