case,intent,stage,update_revision,update_scope,signature,accepted,store_revision,store_scope,operation
J04_g0_c0_recipient,keep,current,1,"[[""J04_g0_c0_recipient"", ""keep""]]",5a39088c1ebffd961066c0f32771ba3e2fbababd776aee853717741dd71d0c8b,1,1,"[[""J04_g0_c0_recipient"", ""keep""]]",keep
J04_g0_c0_recipient,keep,forged_opposite,2,"[[""J04_g0_c0_recipient"", ""swap""]]",forged,0,1,"[[""J04_g0_c0_recipient"", ""keep""]]",keep
J04_g0_c0_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J04_g0_c0_recipient,keep,old_replay,1,"[[""J04_g0_c0_recipient"", ""keep""]]",5a39088c1ebffd961066c0f32771ba3e2fbababd776aee853717741dd71d0c8b,0,2,[],none
J04_g0_c0_recipient,swap,current,1,"[[""J04_g0_c0_recipient"", ""swap""]]",3f9b950c9d9ed638ad84abb43aee11a62e7325b296873679d9d2565ce8c4d394,1,1,"[[""J04_g0_c0_recipient"", ""swap""]]",swap
J04_g0_c0_recipient,swap,forged_opposite,2,"[[""J04_g0_c0_recipient"", ""keep""]]",forged,0,1,"[[""J04_g0_c0_recipient"", ""swap""]]",swap
J04_g0_c0_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J04_g0_c0_recipient,swap,old_replay,1,"[[""J04_g0_c0_recipient"", ""swap""]]",3f9b950c9d9ed638ad84abb43aee11a62e7325b296873679d9d2565ce8c4d394,0,2,[],none
J04_g0_c0_color,keep,current,1,"[[""J04_g0_c0_color"", ""keep""]]",b9b24f976de75531efc7754b271ae582d70e4f1c3119b5b6db7f1c75a5019176,1,1,"[[""J04_g0_c0_color"", ""keep""]]",keep
J04_g0_c0_color,keep,forged_opposite,2,"[[""J04_g0_c0_color"", ""swap""]]",forged,0,1,"[[""J04_g0_c0_color"", ""keep""]]",keep
J04_g0_c0_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J04_g0_c0_color,keep,old_replay,1,"[[""J04_g0_c0_color"", ""keep""]]",b9b24f976de75531efc7754b271ae582d70e4f1c3119b5b6db7f1c75a5019176,0,2,[],none
J04_g0_c0_color,swap,current,1,"[[""J04_g0_c0_color"", ""swap""]]",5c61d64ce4d5980f486d5a4d32fb5686493f223301223a2eb58c0b21de620a88,1,1,"[[""J04_g0_c0_color"", ""swap""]]",swap
J04_g0_c0_color,swap,forged_opposite,2,"[[""J04_g0_c0_color"", ""keep""]]",forged,0,1,"[[""J04_g0_c0_color"", ""swap""]]",swap
J04_g0_c0_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J04_g0_c0_color,swap,old_replay,1,"[[""J04_g0_c0_color"", ""swap""]]",5c61d64ce4d5980f486d5a4d32fb5686493f223301223a2eb58c0b21de620a88,0,2,[],none
J04_g0_c1_recipient,keep,current,1,"[[""J04_g0_c1_recipient"", ""keep""]]",f92d1693671f1c0ec95d75f3a4160d32518305b9be8936116e08ae9c7a1d7bd1,1,1,"[[""J04_g0_c1_recipient"", ""keep""]]",keep
J04_g0_c1_recipient,keep,forged_opposite,2,"[[""J04_g0_c1_recipient"", ""swap""]]",forged,0,1,"[[""J04_g0_c1_recipient"", ""keep""]]",keep
J04_g0_c1_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J04_g0_c1_recipient,keep,old_replay,1,"[[""J04_g0_c1_recipient"", ""keep""]]",f92d1693671f1c0ec95d75f3a4160d32518305b9be8936116e08ae9c7a1d7bd1,0,2,[],none
J04_g0_c1_recipient,swap,current,1,"[[""J04_g0_c1_recipient"", ""swap""]]",7b18efd025cfe89c9cb88490b5caa33afb489e97cca61e751f5635db5c3591f7,1,1,"[[""J04_g0_c1_recipient"", ""swap""]]",swap
J04_g0_c1_recipient,swap,forged_opposite,2,"[[""J04_g0_c1_recipient"", ""keep""]]",forged,0,1,"[[""J04_g0_c1_recipient"", ""swap""]]",swap
J04_g0_c1_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J04_g0_c1_recipient,swap,old_replay,1,"[[""J04_g0_c1_recipient"", ""swap""]]",7b18efd025cfe89c9cb88490b5caa33afb489e97cca61e751f5635db5c3591f7,0,2,[],none
J04_g0_c1_color,keep,current,1,"[[""J04_g0_c1_color"", ""keep""]]",a107e4eadfb80d585dad9ac3003c9ae41c92930e5f5bb7fc3fdabd3addefb128,1,1,"[[""J04_g0_c1_color"", ""keep""]]",keep
J04_g0_c1_color,keep,forged_opposite,2,"[[""J04_g0_c1_color"", ""swap""]]",forged,0,1,"[[""J04_g0_c1_color"", ""keep""]]",keep
J04_g0_c1_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J04_g0_c1_color,keep,old_replay,1,"[[""J04_g0_c1_color"", ""keep""]]",a107e4eadfb80d585dad9ac3003c9ae41c92930e5f5bb7fc3fdabd3addefb128,0,2,[],none
J04_g0_c1_color,swap,current,1,"[[""J04_g0_c1_color"", ""swap""]]",a7ed2f3caeec08bddd796882810bb900464884064a15cf2068239da0d9114617,1,1,"[[""J04_g0_c1_color"", ""swap""]]",swap
J04_g0_c1_color,swap,forged_opposite,2,"[[""J04_g0_c1_color"", ""keep""]]",forged,0,1,"[[""J04_g0_c1_color"", ""swap""]]",swap
