id,case,family,color,giver,arm,query,top_id,top_text,swap_target,original_target,swap_correct,original_correct,invalid,swap_probability,original_probability,word_logits,word_probabilities,input_cache_sha256,suffix_ids,output_cache_sha256,max_logit_change_vs_unedited
J05_g0_c0_recipient/no_edit/later_giver,J05_g0_c0_recipient,J05,red,Joseph,no_edit,later_giver,257, a,Susan,Joseph,0,0,1,0.007277206692937632,0.10705368810100852,"{""Joseph"": -110.06587219238281, ""Susan"": -112.75445556640625, ""red"": -117.22135162353516, ""blue"": -118.23036193847656}","{""Joseph"": 0.10705368810100852, ""Susan"": 0.007277206692937632, ""red"": 8.356345759367057e-05, ""blue"": 3.0465533622446686e-05}",8a0a738e1dd143f207e21b30a31e6afe575fa5dc01ab295fe9ad055f1d54f627,"[2130, 13, 383, 308, 1428, 373]",c3554f9df2e4ffa025ea633d1b0b9a5c0d1bdd16e4cd6cad990b33c9220e83d1,0.0
J05_g0_c0_recipient/no_edit/later_color,J05_g0_c0_recipient,J05,red,Joseph,no_edit,later_color,2266, red,red,red,1,1,0,0.05819366798574957,0.05819366798574957,"{""Joseph"": -120.70465087890625, ""Susan"": -123.28370666503906, ""red"": -117.07511138916016, ""blue"": -118.2215576171875}","{""Joseph"": 0.0015437847967989878, ""Susan"": 0.00011708926052809785, ""red"": 0.05819366798574957, ""blue"": 0.018491854231272573}",8a0a738e1dd143f207e21b30a31e6afe575fa5dc01ab295fe9ad055f1d54f627,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",b6146c33ca82a34a8966061772248e6efa08cdb7485adfbf510d3a42700a09d4,0.0
J05_g0_c0_recipient/internal/later_giver,J05_g0_c0_recipient,J05,red,Joseph,internal,later_giver,257, a,Susan,Joseph,0,0,1,0.006986699309988733,0.11665451206215662,"{""Joseph"": -110.1160659790039, ""Susan"": -112.9312744140625, ""red"": -117.36136627197266, ""blue"": -118.38206481933594}","{""Joseph"": 0.11665451206215662, ""Susan"": 0.006986699309988733, ""red"": 8.323531060288874e-05, ""blue"": 2.99932728059123e-05}",22788372eebb50638e747574c37fe6220a92829753e7d1692d5fe9391a5adb11,"[2130, 13, 383, 308, 1428, 373]",a6d555eaa780448db3c7eb549d7483e651f173f730b055331e9c97296c5d9c7b,0.359710693359375
J05_g0_c0_recipient/internal/later_color,J05_g0_c0_recipient,J05,red,Joseph,internal,later_color,2266, red,red,red,1,1,0,0.05976280048477924,0.05976280048477924,"{""Joseph"": -121.11092376708984, ""Susan"": -123.64862060546875, ""red"": -117.3313980102539, ""blue"": -118.46976470947266}","{""Joseph"": 0.0013645949505615958, ""Susan"": 0.00010786884442741543, ""red"": 0.05976280048477924, ""blue"": 0.019144523635703185}",22788372eebb50638e747574c37fe6220a92829753e7d1692d5fe9391a5adb11,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",8027c940f9a2bb4b483009c209e8de320c2e65242eaf08ba5bb7c9429dd57d11,0.42887115478515625
J05_g0_c0_recipient/task/later_giver,J05_g0_c0_recipient,J05,red,Joseph,task,later_giver,257, a,Susan,Joseph,0,0,1,0.007168436592457773,0.10853822752214307,"{""Joseph"": -110.39778900146484, ""Susan"": -113.11520385742188, ""red"": -117.5667953491211, ""blue"": -118.58273315429688}","{""Joseph"": 0.10853822752214307, ""Susan"": 0.007168436592457773, ""red"": 8.35839377661177e-05, ""blue"": 3.026262838005395e-05}",2b209717a07fa78d584ab1c01b494610f577d8b08c525a49c3613960e219ecec,"[2130, 13, 383, 308, 1428, 373]",4ac537a1ddff4c0326f76834dd6d424da6ff0c7338c2697eee1f2dcf14e2ffbe,0.561737060546875
J05_g0_c0_recipient/task/later_color,J05_g0_c0_recipient,J05,red,Joseph,task,later_color,2266, red,red,red,1,1,0,0.058266021626085,0.058266021626085,"{""Joseph"": -121.7458267211914, ""Susan"": -124.22452545166016, ""red"": -118.0028305053711, ""blue"": -119.08220672607422}","{""Joseph"": 0.001379916359371479, ""Susan"": 0.000115709117807915, ""red"": 0.058266021626085, ""blue"": 0.01979922673793817}",2b209717a07fa78d584ab1c01b494610f577d8b08c525a49c3613960e219ecec,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",9216ea0a1efc15aee69c72762fb297f1c1f3d446252928f0596cde189701b80c,1.1219940185546875
J05_g0_c0_recipient/yoked/later_giver,J05_g0_c0_recipient,J05,red,Joseph,yoked,later_giver,257, a,Susan,Joseph,0,0,1,0.007473345195892356,0.11210397879781454,"{""Joseph"": -109.61123657226562, ""Susan"": -112.31932067871094, ""red"": -116.832763671875, ""blue"": -117.85243225097656}","{""Joseph"": 0.11210397879781454, ""Susan"": 0.007473345195892356, ""red"": 8.191277831829607e-05, ""blue"": 2.9547124309035305e-05}",15a7cc2dab8ca8df46306b8f700bcea77d087bacaa324ed91506de331072029d,"[2130, 13, 383, 308, 1428, 373]",773a8b91942273d6629f5d737a94986456f6fe35da8a91ae0cd1ce1fb42f5ecf,0.5308837890625
J05_g0_c0_recipient/yoked/later_color,J05_g0_c0_recipient,J05,red,Joseph,yoked,later_color,2266, red,red,red,1,1,0,0.058931758276140306,0.058931758276140306,"{""Joseph"": -121.02872467041016, ""Susan"": -123.60183715820312, ""red"": -117.3284912109375, ""blue"": -118.45877838134766}","{""Joseph"": 0.0014566607747279728, ""Susan"": 0.00011113986651643121, ""red"": 0.058931758276140306, ""blue"": 0.019031451728025044}",15a7cc2dab8ca8df46306b8f700bcea77d087bacaa324ed91506de331072029d,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",f80c178e509b404726790d64f153305d86b3a82a90eb4e3dee669cb0f7bef9c5,0.4658355712890625
J05_g0_c0_recipient/supervised_ridge/later_giver,J05_g0_c0_recipient,J05,red,Joseph,supervised_ridge,later_giver,257, a,Susan,Joseph,0,0,1,0.007095829892230159,0.11309345901017553,"{""Joseph"": -109.92071533203125, ""Susan"": -112.68942260742188, ""red"": -117.1239242553711, ""blue"": -118.1254653930664}","{""Joseph"": 0.11309345901017553, ""Susan"": 0.007095829892230159, ""red"": 8.416346362701323e-05, ""blue"": 3.091432799869409e-05}",2355d9cd578810161d1402b1c235582512464eda3f7974032af2fc52f6bb6e96,"[2130, 13, 383, 308, 1428, 373]",29c0488620dc8030afa13a3f2703095f87e12358e7f47ce12d57308f4ccd8c28,0.26186370849609375
J05_g0_c0_recipient/supervised_ridge/later_color,J05_g0_c0_recipient,J05,red,Joseph,supervised_ridge,later_color,2266, red,red,red,1,1,0,0.05749970155729232,0.05749970155729232,"{""Joseph"": -120.93184661865234, ""Susan"": -123.53256225585938, ""red"": -117.23828125, ""blue"": -118.34355926513672}","{""Joseph"": 0.0014307723292062455, ""Susan"": 0.00010619255795558564, ""red"": 0.05749970155729232, ""blue"": 0.019039232950627257}",2355d9cd578810161d1402b1c235582512464eda3f7974032af2fc52f6bb6e96,"[2130, 13, 383, 3124, 286, 262, 1492, 373]",8293bcb0411e17d3c988c38af806aea4e4ebc59e63466810a1405ed707a39cfc,0.374053955078125
