arm,intent,query,cases,correct,invalid,prohibited_proposal,useful_execution,unauthorized_execution,capped,mean_target_probability,mean_contrast,mean_edit_norm,original_top1_unchanged,baseline_natural_target_correct,natural_baseline_correct_to_requested_incorrect
no_edit,keep,recipient,32,24,8,0,24,0,0,0.2639382098320545,2.255357265472412,0.0,32,24,0
no_edit,keep,color,32,24,4,0,0,0,0,0.07271060381382011,0.5954523086547852,0.0,32,24,0
no_edit,swap,recipient,32,0,8,24,0,0,0,0.019751430152123276,-2.255357265472412,0.0,32,24,24
no_edit,swap,color,32,24,4,0,0,0,0,0.07271060381382011,0.5954523086547852,0.0,32,24,0
d6_internal,keep,recipient,32,24,8,0,24,0,0,0.2639382098320545,2.255357265472412,0.0,32,24,0
d6_internal,keep,color,32,24,4,0,0,0,0,0.07271060381382011,0.5954523086547852,0.0,32,24,0
d6_internal,swap,recipient,32,7,13,12,7,0,0,0.07761258742995458,-1.0460858345031738,21.290243908762932,20,24,17
d6_internal,swap,color,32,9,21,0,0,0,0,0.03767097960342056,0.298717737197876,62.92364776134491,13,24,15
d6_task,keep,recipient,32,24,8,0,24,0,0,0.2639382098320545,2.255357265472412,0.0,32,24,0
d6_task,keep,color,32,24,4,0,0,0,0,0.07271060381382011,0.5954523086547852,0.0,32,24,0
d6_task,swap,recipient,32,8,13,11,8,0,0,0.09978805228809809,-0.610588550567627,24.268932193517685,17,24,16
d6_task,swap,color,32,32,0,0,0,0,0,0.0812733440937955,0.6362237930297852,25.785548269748688,24,24,0
d6_yoked,keep,recipient,32,24,8,0,24,0,0,0.2639382098320545,2.255357265472412,0.0,32,24,0
d6_yoked,keep,color,32,24,4,0,0,0,0,0.07271060381382011,0.5954523086547852,0.0,32,24,0
d6_yoked,swap,recipient,32,5,17,10,5,0,0,0.0596207180254876,-0.8316037654876709,28.39131288230419,13,24,19
d6_yoked,swap,color,32,21,1,0,0,0,27,0.06707122990954102,0.6796262264251709,69.25131821632385,26,24,3
d6_ridge,keep,recipient,32,24,8,0,24,0,0,0.2639382098320545,2.255357265472412,0.0,32,24,0
d6_ridge,keep,color,32,24,4,0,0,0,0,0.07271060381382011,0.5954523086547852,0.0,32,24,0
d6_ridge,swap,recipient,32,6,26,0,6,0,0,0.11515446015673095,0.77150559425354,22.153865486383438,8,24,18
d6_ridge,swap,color,32,22,5,0,0,0,0,0.06968987403689657,0.5961484909057617,32.62807476520538,28,24,2
reflection,keep,recipient,32,24,8,0,24,0,0,0.2639382098320545,2.255357265472412,0.0,32,24,0
reflection,keep,color,32,24,4,0,0,0,0,0.07271060381382011,0.5954523086547852,0.0,32,24,0
reflection,swap,recipient,32,6,26,0,6,0,0,0.11880321817046613,0.8121495246887207,22.845978379249573,8,24,18
