arm,family,color,all_six_swap_targets_correct,all_six_original_targets_correct
no_edit,J00,red,0,0
no_edit,J00,blue,0,0
no_edit,J01,red,0,0
no_edit,J01,blue,0,0
no_edit,J02,red,0,0
no_edit,J02,blue,0,0
no_edit,J03,red,0,0
no_edit,J03,blue,0,0
no_edit,J04,red,0,0
no_edit,J04,blue,0,0
no_edit,J05,red,0,0
no_edit,J05,blue,0,0
no_edit,J06,red,0,0
no_edit,J06,blue,0,0
no_edit,J07,red,0,0
no_edit,J07,blue,0,0
internal,J00,red,0,0
internal,J00,blue,0,0
internal,J01,red,0,0
internal,J01,blue,0,0
internal,J02,red,0,0
internal,J02,blue,0,0
internal,J03,red,0,0
internal,J03,blue,0,0
internal,J04,red,0,0
internal,J04,blue,0,0
internal,J05,red,0,0
internal,J05,blue,0,0
internal,J06,red,0,0
internal,J06,blue,0,0
internal,J07,red,0,0
internal,J07,blue,0,0
task,J00,red,0,0
task,J00,blue,0,0
task,J01,red,0,0
task,J01,blue,0,0
task,J02,red,0,0
task,J02,blue,0,0
task,J03,red,0,0
task,J03,blue,0,0
task,J04,red,0,0
task,J04,blue,0,0
task,J05,red,0,0
task,J05,blue,0,0
task,J06,red,0,0
task,J06,blue,0,0
task,J07,red,0,0
task,J07,blue,0,0
yoked,J00,red,0,0
yoked,J00,blue,0,0
yoked,J01,red,0,0
yoked,J01,blue,0,0
yoked,J02,red,0,0
yoked,J02,blue,0,0
yoked,J03,red,0,0
yoked,J03,blue,0,0
yoked,J04,red,0,0
yoked,J04,blue,0,0
yoked,J05,red,0,0
yoked,J05,blue,0,0
yoked,J06,red,0,0
yoked,J06,blue,0,0
yoked,J07,red,0,0
yoked,J07,blue,0,0
supervised_ridge,J00,red,0,0
supervised_ridge,J00,blue,0,0
supervised_ridge,J01,red,0,0
supervised_ridge,J01,blue,0,0
supervised_ridge,J02,red,0,0
supervised_ridge,J02,blue,0,0
supervised_ridge,J03,red,0,0
supervised_ridge,J03,blue,0,0
supervised_ridge,J04,red,0,0
supervised_ridge,J04,blue,0,0
supervised_ridge,J05,red,0,0
supervised_ridge,J05,blue,0,0
supervised_ridge,J06,red,0,0
supervised_ridge,J06,blue,0,0
supervised_ridge,J07,red,0,0
supervised_ridge,J07,blue,0,0
reflection,J00,red,0,0
reflection,J00,blue,0,0
reflection,J01,red,0,0
reflection,J01,blue,0,0
reflection,J02,red,0,0
reflection,J02,blue,0,0
reflection,J03,red,0,0
reflection,J03,blue,0,0
reflection,J04,red,0,0
reflection,J04,blue,0,0
reflection,J05,red,0,0
reflection,J05,blue,0,0
reflection,J06,red,0,0
reflection,J06,blue,0,0
reflection,J07,red,0,0
reflection,J07,blue,0,0
residual_donor,J00,red,0,0
residual_donor,J00,blue,0,0
residual_donor,J01,red,0,0
residual_donor,J01,blue,0,0
residual_donor,J02,red,0,0
residual_donor,J02,blue,0,0
residual_donor,J03,red,0,0
residual_donor,J03,blue,0,0
residual_donor,J04,red,0,0
residual_donor,J04,blue,0,0
residual_donor,J05,red,0,0
residual_donor,J05,blue,0,0
residual_donor,J06,red,0,0
residual_donor,J06,blue,0,0
residual_donor,J07,red,0,0
residual_donor,J07,blue,0,0
prefix_donor,J00,red,0,0
prefix_donor,J00,blue,0,0
prefix_donor,J01,red,0,0
prefix_donor,J01,blue,0,0
prefix_donor,J02,red,0,0
prefix_donor,J02,blue,0,0
prefix_donor,J03,red,0,0
prefix_donor,J03,blue,0,0
prefix_donor,J04,red,0,0
prefix_donor,J04,blue,0,0
prefix_donor,J05,red,0,0
prefix_donor,J05,blue,0,0
prefix_donor,J06,red,0,0
prefix_donor,J06,blue,0,0
prefix_donor,J07,red,0,0
prefix_donor,J07,blue,0,0
internal_restore_upper,J00,red,0,0
internal_restore_upper,J00,blue,0,0
internal_restore_upper,J01,red,0,0
internal_restore_upper,J01,blue,0,0
internal_restore_upper,J02,red,0,0
internal_restore_upper,J02,blue,0,0
internal_restore_upper,J03,red,0,0
internal_restore_upper,J03,blue,0,0
internal_restore_upper,J04,red,0,0
internal_restore_upper,J04,blue,0,0
internal_restore_upper,J05,red,0,0
internal_restore_upper,J05,blue,0,0
internal_restore_upper,J06,red,0,0
internal_restore_upper,J06,blue,0,0
internal_restore_upper,J07,red,0,0
internal_restore_upper,J07,blue,0,0
internal_restore_lower,J00,red,0,0
internal_restore_lower,J00,blue,0,0
internal_restore_lower,J01,red,0,0
internal_restore_lower,J01,blue,0,0
internal_restore_lower,J02,red,0,0
internal_restore_lower,J02,blue,0,0
internal_restore_lower,J03,red,0,0
internal_restore_lower,J03,blue,0,0
internal_restore_lower,J04,red,0,0
internal_restore_lower,J04,blue,0,0
internal_restore_lower,J05,red,0,0
internal_restore_lower,J05,blue,0,0
internal_restore_lower,J06,red,0,0
internal_restore_lower,J06,blue,0,0
internal_restore_lower,J07,red,0,0
internal_restore_lower,J07,blue,0,0
