arm,query,cases,swap_correct,original_correct,invalid,mean_swap_probability,mean_original_probability,top1_changed_from_no_edit,mean_max_logit_change_vs_unedited
no_edit,initial_recipient,32,0,24,8,0.019751430152123273,0.2639382098320542,0,
no_edit,later_giver,32,3,0,29,0.04461660068862051,0.03844470917118455,0,0.0
no_edit,later_color,32,21,21,7,0.06009751806304384,0.06009751806304384,0,0.0
internal,initial_recipient,32,7,12,13,0.07761258742995467,0.1959330941895221,12,
internal,later_giver,32,3,0,29,0.044897553404623224,0.03986135780720206,0,0.42102813720703125
internal,later_color,32,20,20,7,0.05998732879426522,0.05998732879426522,2,0.5536963939666748
task,initial_recipient,32,8,11,13,0.09978805228809787,0.16864927367933946,15,
task,later_giver,32,2,0,30,0.0436837646942598,0.03928436041713082,1,0.47696924209594727
task,later_color,32,21,21,6,0.05951941405448951,0.05951941405448951,1,0.6141786575317383
yoked,initial_recipient,32,5,10,17,0.05962071802548766,0.17928580693023854,19,
yoked,later_giver,32,1,0,31,0.04322776337004288,0.039720002227729645,2,0.5977261066436768
yoked,later_color,32,21,21,6,0.06012668277301501,0.06012668277301501,1,0.6438953876495361
supervised_ridge,initial_recipient,32,6,0,26,0.11515446015673088,0.05230414929955221,24,
supervised_ridge,later_giver,32,1,0,31,0.04218587451854077,0.040025760908722,2,0.4277305603027344
supervised_ridge,later_color,32,20,20,7,0.059699232346914204,0.059699232346914204,2,0.5990839004516602
reflection,initial_recipient,32,6,0,26,0.11880321817046627,0.051681610725693515,24,
reflection,later_giver,32,0,0,32,0.0426587821231745,0.040221725682540455,3,0.4273805618286133
reflection,later_color,32,21,21,7,0.059781393314210986,0.059781393314210986,0,0.525947093963623
residual_donor,initial_recipient,32,12,0,20,0.15686754514014814,0.029603126102072497,24,
residual_donor,later_giver,32,2,0,30,0.0425428668868454,0.040463149898164685,1,0.45560479164123535
residual_donor,later_color,32,20,20,8,0.059997046496292936,0.059997046496292936,1,0.5326902866363525
prefix_donor,initial_recipient,32,24,0,8,0.2639382098320542,0.019751430152123273,24,
prefix_donor,later_giver,32,0,3,29,0.03844470917118455,0.04461660068862051,6,2.047074794769287
prefix_donor,later_color,32,21,21,7,0.06009751806304384,0.06009751806304384,2,2.50722599029541
internal_restore_upper,initial_recipient,32,7,12,13,0.07761258742995467,0.1959330941895221,12,
internal_restore_upper,later_giver,32,3,0,29,0.04461660068862051,0.03844470917118455,0,0.0
internal_restore_upper,later_color,32,21,21,7,0.06009751806304384,0.06009751806304384,0,0.0
internal_restore_lower,initial_recipient,32,7,12,13,0.07761258742995467,0.1959330941895221,12,
internal_restore_lower,later_giver,32,3,0,29,0.044897553404623224,0.03986135780720206,0,0.42102813720703125
internal_restore_lower,later_color,32,20,20,7,0.05998732879426522,0.05998732879426522,2,0.5536963939666748
