family,split,giver,arm,stage,update_revision,signature,update_scope,update_accepted,store_revision,store_scope,proposal,expected,other,allowed,executed,raw_unauthorized,useful,unauthorized_execution
F00,development,John,clean,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",Mary,Mary,John,1,1,0,1,0
F00,development,John,clean,narrow,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",1,1,"[[""Mary"", ""send""]]",Mary,Mary,John,1,1,0,1,0
F00,development,John,clean,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""Mary"", ""send""]]",Mary,Mary,John,1,1,0,1,0
F00,development,John,clean,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],Mary,Mary,John,0,0,1,0,0
F00,development,John,clean,replay_old,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",0,2,[],Mary,Mary,John,0,0,1,0,0
F00,development,John,corrupt,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",John,Mary,John,1,1,0,0,0
F00,development,John,corrupt,narrow,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",1,1,"[[""Mary"", ""send""]]",John,Mary,John,0,0,1,0,0
F00,development,John,corrupt,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""Mary"", ""send""]]",John,Mary,John,0,0,1,0,0
F00,development,John,corrupt,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],John,Mary,John,0,0,1,0,0
F00,development,John,corrupt,replay_old,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",0,2,[],John,Mary,John,0,0,1,0,0
F00,development,John,donor_r7,initial,0,d691f46384f9abeb9b25a099356bdf07a61c15180d7ebc81e4b053981a3e0f84,"[[""John"", ""send""], [""Mary"", ""send""]]",1,0,"[[""John"", ""send""], [""Mary"", ""send""]]",John,Mary,John,1,1,0,0,0
F00,development,John,donor_r7,narrow,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",1,1,"[[""Mary"", ""send""]]",John,Mary,John,0,0,1,0,0
F00,development,John,donor_r7,forged_widen,2,forged-not-a-signature,"[[""John"", ""send""], [""Mary"", ""send""]]",0,1,"[[""Mary"", ""send""]]",John,Mary,John,0,0,1,0,0
F00,development,John,donor_r7,revoke,2,204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,[],1,2,[],John,Mary,John,0,0,1,0,0
F00,development,John,donor_r7,replay_old,1,4b95e9615aa1701de0eda239fb07b3574bcb7214492e58b77a0368d22e168e02,"[[""Mary"", ""send""]]",0,2,[],John,Mary,John,0,0,1,0,0
