sentence,arm,final_probe,final_score_input,delta_from_initial_probe,visible_text_changed,adaptive_controller_present
0,live_positive,0.4654807561321018,50,0.0,False,False
0,live_negative,0.4654807561321018,50,0.0,False,False
0,random,0.45861848283346174,20,-0.006862273298640087,False,False
0,yoked_positive_next_sentence,0.4654807561321018,50,0.0,False,False
0,visible_sentence_only,0.4654807561321018,50,0.0,False,False
0,constant_50,0.4654807561321018,50,0.0,False,False
1,live_positive,0.45753535327959294,50,0.0,False,False
1,live_negative,0.45753535327959294,50,0.0,False,False
1,random,0.42812477809546656,0,-0.029410575184126375,False,False
1,yoked_positive_next_sentence,0.46459298642515034,60,0.007057633145557407,False,False
1,visible_sentence_only,0.45753535327959294,50,0.0,False,False
1,constant_50,0.45753535327959294,50,0.0,False,False
2,live_positive,0.6498813599008478,60,0.004874371922340193,False,False
2,live_negative,0.6392749444137117,40,-0.005732043564795952,False,False
2,random,0.6152210186741296,0,-0.029785969304378046,False,False
2,yoked_positive_next_sentence,0.6498813599008478,60,0.004874371922340193,False,False
2,visible_sentence_only,0.6440947834840168,70,-0.0009122044944908092,False,False
2,constant_50,0.6450069879785076,50,0.0,False,False
3,live_positive,0.580636996299837,60,0.004150339470486042,False,False
3,live_negative,0.5737276999113088,40,-0.002758956918042177,False,False
3,random,0.5508476496688384,0,-0.025639007160512595,False,False
3,yoked_positive_next_sentence,0.576486656829351,50,0.0,False,False
3,visible_sentence_only,0.580636996299837,60,0.004150339470486042,False,False
3,constant_50,0.576486656829351,50,0.0,False,False
4,live_positive,0.5482069459757181,50,0.0,False,False
4,live_negative,0.5482069459757181,50,0.0,False,False
4,random,0.554521961459803,100,0.006315015484084974,False,False
4,yoked_positive_next_sentence,0.5482069459757181,50,0.0,False,False
4,visible_sentence_only,0.5482069459757181,50,0.0,False,False
4,constant_50,0.5482069459757181,50,0.0,False,False
5,live_positive,0.5489094871597033,50,0.0,False,False
5,live_negative,0.5489094871597033,50,0.0,False,False
5,random,0.5565526321166405,90,0.007643144956937187,False,False
5,yoked_positive_next_sentence,0.5539066637166883,60,0.00499717655698495,False,False
5,visible_sentence_only,0.5539066637166883,60,0.00499717655698495,False,False
5,constant_50,0.5489094871597033,50,0.0,False,False
6,live_positive,0.6477758040355889,60,0.006567057535183607,False,False
6,live_negative,0.6427387660940839,40,0.0015300195936785999,False,False
6,random,0.6420165758509977,10,0.0008078293505924261,False,False
6,yoked_positive_next_sentence,0.6412087465004053,50,0.0,False,False
6,visible_sentence_only,0.6477758040355889,60,0.006567057535183607,False,False
6,constant_50,0.6412087465004053,50,0.0,False,False
7,live_positive,0.5355827872786684,50,0.0,False,False
7,live_negative,0.5355827872786684,50,0.0,False,False
7,random,0.5399344795233448,80,0.004351692244676464,False,False
7,yoked_positive_next_sentence,0.5355827872786684,50,0.0,False,False
7,visible_sentence_only,0.5355827872786684,50,0.0,False,False
7,constant_50,0.5355827872786684,50,0.0,False,False
