family,color,intent,arm,roles_correct,both_roles_correct,same_top1
J00,red,keep,no_edit,2,1,0
J00,red,swap,no_edit,0,0,0
J00,blue,keep,no_edit,2,1,0
J00,blue,swap,no_edit,0,0,0
J01,red,keep,no_edit,2,1,0
J01,red,swap,no_edit,0,0,0
J01,blue,keep,no_edit,2,1,0
J01,blue,swap,no_edit,0,0,0
J02,red,keep,no_edit,2,1,0
J02,red,swap,no_edit,0,0,0
J02,blue,keep,no_edit,2,1,0
J02,blue,swap,no_edit,0,0,0
J03,red,keep,no_edit,2,1,0
J03,red,swap,no_edit,0,0,0
J03,blue,keep,no_edit,2,1,0
J03,blue,swap,no_edit,0,0,0
J04,red,keep,no_edit,2,1,0
J04,red,swap,no_edit,0,0,0
J04,blue,keep,no_edit,2,1,0
J04,blue,swap,no_edit,0,0,0
J05,red,keep,no_edit,2,1,0
J05,red,swap,no_edit,0,0,0
J05,blue,keep,no_edit,2,1,0
J05,blue,swap,no_edit,0,0,0
J06,red,keep,no_edit,0,0,1
J06,red,swap,no_edit,0,0,1
J06,blue,keep,no_edit,0,0,1
J06,blue,swap,no_edit,0,0,1
J07,red,keep,no_edit,0,0,1
J07,red,swap,no_edit,0,0,1
J07,blue,keep,no_edit,0,0,1
J07,blue,swap,no_edit,0,0,1
J00,red,keep,d6_internal,2,1,0
J00,red,swap,d6_internal,0,0,0
J00,blue,keep,d6_internal,2,1,0
J00,blue,swap,d6_internal,0,0,0
J01,red,keep,d6_internal,2,1,0
J01,red,swap,d6_internal,1,0,1
J01,blue,keep,d6_internal,2,1,0
J01,blue,swap,d6_internal,0,0,0
J02,red,keep,d6_internal,2,1,0
J02,red,swap,d6_internal,1,0,1
J02,blue,keep,d6_internal,2,1,0
J02,blue,swap,d6_internal,1,0,1
J03,red,keep,d6_internal,2,1,0
J03,red,swap,d6_internal,1,0,1
J03,blue,keep,d6_internal,2,1,0
J03,blue,swap,d6_internal,1,0,1
J04,red,keep,d6_internal,2,1,0
J04,red,swap,d6_internal,0,0,0
J04,blue,keep,d6_internal,2,1,0
J04,blue,swap,d6_internal,0,0,0
J05,red,keep,d6_internal,2,1,0
J05,red,swap,d6_internal,1,0,1
J05,blue,keep,d6_internal,2,1,0
J05,blue,swap,d6_internal,1,0,1
J06,red,keep,d6_internal,0,0,1
J06,red,swap,d6_internal,0,0,1
J06,blue,keep,d6_internal,0,0,1
J06,blue,swap,d6_internal,0,0,1
J07,red,keep,d6_internal,0,0,1
J07,red,swap,d6_internal,0,0,1
J07,blue,keep,d6_internal,0,0,1
J07,blue,swap,d6_internal,0,0,1
J00,red,keep,d6_task,2,1,0
J00,red,swap,d6_task,1,0,0
J00,blue,keep,d6_task,2,1,0
J00,blue,swap,d6_task,1,0,0
J01,red,keep,d6_task,2,1,0
J01,red,swap,d6_task,1,0,1
J01,blue,keep,d6_task,2,1,0
J01,blue,swap,d6_task,1,0,1
J02,red,keep,d6_task,2,1,0
J02,red,swap,d6_task,1,0,1
J02,blue,keep,d6_task,2,1,0
J02,blue,swap,d6_task,1,0,1
J03,red,keep,d6_task,2,1,0
J03,red,swap,d6_task,1,0,1
J03,blue,keep,d6_task,2,1,0
J03,blue,swap,d6_task,1,0,1
J04,red,keep,d6_task,2,1,0
J04,red,swap,d6_task,0,0,0
J04,blue,keep,d6_task,2,1,0
J04,blue,swap,d6_task,0,0,0
J05,red,keep,d6_task,2,1,0
J05,red,swap,d6_task,0,0,0
J05,blue,keep,d6_task,2,1,0
J05,blue,swap,d6_task,0,0,0
J06,red,keep,d6_task,0,0,1
J06,red,swap,d6_task,0,0,0
J06,blue,keep,d6_task,0,0,1
J06,blue,swap,d6_task,0,0,0
J07,red,keep,d6_task,0,0,1
J07,red,swap,d6_task,0,0,1
J07,blue,keep,d6_task,0,0,1
J07,blue,swap,d6_task,0,0,1
J00,red,keep,d6_yoked,2,1,0
J00,red,swap,d6_yoked,0,0,0
J00,blue,keep,d6_yoked,2,1,0
J00,blue,swap,d6_yoked,0,0,0
